author;score
MICHAEL J. CAREY;3239.000
GERHARD WEIKUM;3071.000
DAVID J. DEWITT;2818.000
PHILIP S. YU;2614.000
HECTOR GARCIA-MOLINA;2512.000
MICHAEL STONEBRAKER;2316.000
SERGE ABITEBOUL;2297.000
H. V. JAGADISH;2263.000
RAKESH AGRAWAL;2240.000
RAGHU RAMAKRISHNAN;2059.000
CHRISTOS FALOUTSOS;2042.000
WON KIM;1902.000
ABRAHAM SILBERSCHATZ;1867.000
MIRON LIVNY;1806.000
GOETZ GRAEFE;1789.000
STEFANO CERI;1775.000
YANNIS E. IOANNIDIS;1775.000
RICHARD HULL;1692.000
HAMID PIRAHESH;1685.000
HANS-JOUMLRG SCHEK;1661.000
STANLEY Y. W. SU;1651.000
CLEMENT T. YU;1630.000
JEFFREY F. NAUGHTON;1587.000
RICHARD T. SNODGRASS;1558.000
SHAMKANT B. NAVATHE;1538.000
ELISA BERTINO;1500.000
ALON Y. LEVY;1487.000
MICHAEL J. FRANKLIN;1454.000
NICK ROUSSOPOULOS;1406.000
JENNIFER WIDOM;1396.000
